home_team,away_team,home_goals,away_goals,result,season
Sheffield United,Liverpool,1,1,D,2006-2007
Arsenal,Aston Villa,1,1,D,2006-2007
Everton,Watford,2,1,H,2006-2007
Newcastle,Wigan,2,1,H,2006-2007
Portsmouth,Blackburn,3,0,H,2006-2007
Reading,Middlesbrough,3,2,H,2006-2007
West Ham,Charlton,3,1,H,2006-2007
Bolton,Tottenham,2,0,H,2006-2007
Man United,Fulham,5,1,H,2006-2007
Chelsea,Man City,3,0,H,2006-2007
Watford,West Ham,1,1,D,2006-2007
Tottenham,Sheffield United,2,0,H,2006-2007
Aston Villa,Reading,2,1,H,2006-2007
Man City,Portsmouth,0,0,D,2006-2007
Blackburn,Everton,1,1,D,2006-2007
Charlton,Man United,0,3,A,2006-2007
Fulham,Bolton,1,1,D,2006-2007
Middlesbrough,Chelsea,2,1,H,2006-2007
Liverpool,West Ham,2,1,H,2006-2007
Charlton,Bolton,2,0,H,2006-2007
Fulham,Sheffield United,1,0,H,2006-2007
Tottenham,Everton,0,2,A,2006-2007
Watford,Man United,1,2,A,2006-2007
Wigan,Reading,1,0,H,2006-2007
Man City,Arsenal,1,0,H,2006-2007
Aston Villa,Newcastle,2,0,H,2006-2007
Blackburn,Chelsea,0,2,A,2006-2007
Middlesbrough,Portsmouth,0,4,A,2006-2007
Everton,Liverpool,3,0,H,2006-2007
Arsenal,Middlesbrough,1,1,D,2006-2007
Bolton,Watford,1,0,H,2006-2007
Chelsea,Charlton,2,1,H,2006-2007
Newcastle,Fulham,1,2,A,2006-2007
Portsmouth,Wigan,1,0,H,2006-2007
Sheffield United,Blackburn,0,0,D,2006-2007
Man United,Tottenham,1,0,H,2006-2007
West Ham,Aston Villa,1,1,D,2006-2007
Reading,Man City,1,0,H,2006-2007
Charlton,Portsmouth,0,1,A,2006-2007
Bolton,Middlesbrough,0,0,D,2006-2007
Everton,Wigan,2,2,D,2006-2007
Sheffield United,Reading,1,2,A,2006-2007
Watford,Aston Villa,0,0,D,2006-2007
Chelsea,Liverpool,1,0,H,2006-2007
Blackburn,Man City,4,2,H,2006-2007
Tottenham,Fulham,0,0,D,2006-2007
West Ham,Newcastle,0,2,A,2006-2007
Man United,Arsenal,0,1,A,2006-2007
Liverpool,Newcastle,2,0,H,2006-2007
Liverpool,Tottenham,3,0,H,2006-2007
Arsenal,Sheffield United,3,0,H,2006-2007
Aston Villa,Charlton,2,0,H,2006-2007
Fulham,Chelsea,0,2,A,2006-2007
Man City,West Ham,2,0,H,2006-2007
Middlesbrough,Blackburn,0,1,A,2006-2007
Wigan,Watford,1,1,D,2006-2007
Reading,Man United,1,1,D,2006-2007
Newcastle,Everton,1,1,D,2006-2007
Portsmouth,Bolton,0,1,A,2006-2007
Bolton,Liverpool,2,0,H,2006-2007
Charlton,Arsenal,1,2,A,2006-2007
Chelsea,Aston Villa,1,1,D,2006-2007
Everton,Man City,1,1,D,2006-2007
Sheffield United,Middlesbrough,2,1,H,2006-2007
West Ham,Reading,0,1,A,2006-2007
Blackburn,Wigan,2,1,H,2006-2007
Man United,Newcastle,2,0,H,2006-2007
Tottenham,Portsmouth,2,1,H,2006-2007
Watford,Fulham,3,3,D,2006-2007
Wigan,Man United,1,3,A,2006-2007
Arsenal,Watford,3,0,H,2006-2007
Aston Villa,Tottenham,1,1,D,2006-2007
Liverpool,Blackburn,1,1,D,2006-2007
Man City,Sheffield United,0,0,D,2006-2007
Middlesbrough,Everton,2,1,H,2006-2007
Portsmouth,West Ham,2,0,H,2006-2007
Reading,Chelsea,0,1,A,2006-2007
Newcastle,Bolton,1,2,A,2006-2007
Fulham,Charlton,2,1,H,2006-2007
Wigan,Man City,4,0,H,2006-2007
Charlton,Watford,0,0,D,2006-2007
Chelsea,Portsmouth,2,1,H,2006-2007
Everton,Sheffield United,2,0,H,2006-2007
Aston Villa,Fulham,1,1,D,2006-2007
Man United,Liverpool,2,0,H,2006-2007
Blackburn,Bolton,0,1,A,2006-2007
Middlesbrough,Newcastle,1,0,H,2006-2007
Tottenham,West Ham,1,0,H,2006-2007
Reading,Arsenal,0,4,A,2006-2007
Sheffield United,Chelsea,0,2,A,2006-2007
Arsenal,Everton,1,1,D,2006-2007
Bolton,Man United,0,4,A,2006-2007
Fulham,Wigan,0,1,A,2006-2007
Liverpool,Aston Villa,3,1,H,2006-2007
Portsmouth,Reading,3,1,H,2006-2007
Watford,Tottenham,0,0,D,2006-2007
Newcastle,Charlton,0,0,D,2006-2007
West Ham,Blackburn,2,1,H,2006-2007
Man City,Middlesbrough,1,0,H,2006-2007
Fulham,Everton,1,0,H,2006-2007
Bolton,Wigan,0,1,A,2006-2007
Charlton,Man City,1,0,H,2006-2007
Liverpool,Reading,2,0,H,2006-2007
Man United,Portsmouth,3,0,H,2006-2007
Watford,Middlesbrough,2,0,H,2006-2007
Newcastle,Sheffield United,0,1,A,2006-2007
West Ham,Arsenal,1,0,H,2006-2007
Aston Villa,Blackburn,2,0,H,2006-2007
